experimental_perturbation	cas	verdict	term_id	chebi_name	reason_code	inchikey	identity_evidence	first_seen_batch	last_updated_batch
(+)-AJ 76 hydrochloride	85378-82-1	verified	CHEBI:64115	(1S,2R)-5-methoxy-1-methyl-2-(propylamino)tetralin hydrochloride		KIRYNZFMOLYYQB-YECZQDJWSA-N	name and CAS resolved independently to the same structure	1	2
(+)-Bicuculline	485-49-4	verified	CHEBI:3092	bicuculline		IYGYMKDQCDOMRE-ZWKOTPCHSA-N	name and CAS resolved independently to the same structure	1	2
(+)-MK 801 maleate	77086-22-7	verified	CHEBI:176788	dizocilpine maleate		QLTXKCWMEZIHBJ-PJGJYSAQSA-N	name and CAS resolved independently to the same structure	1	2
(+)-PD 128907 hydrochloride	300576-59-4	unverified			in_pubchem_not_in_chebi	DCFXOTRONMKUJB-QMDUSEKHSA-N	name and CAS resolved independently to the same structure	1	2
(+)-SK&F 10047 hydrochloride	133005-41-1	unverified			in_pubchem_not_in_chebi	LGQCVMYAEFTEFN-VUOHQMJNSA-N	the experimental team supplied the structure as SMILES	1	2
(+)-UH 232 maleate	1217473-50-1	unverified			in_pubchem_not_in_chebi	MEQAJDYHKYAPJE-GUUGRXDUSA-N	name and CAS resolved independently to the same structure	1	2
(-)-Bicuculline methiodide	40709-69-1	unverified			cas_and_name_are_different_stereoisomers		stereoisomer_disagreement	1	2
(-)-Bicuculline methobromide	66016-70-4	unverified			in_pubchem_not_in_chebi	BWXCECYGGMGBHD-GRTNUQQKSA-M	name and CAS agree; PubChem stereo-duplicate, anchored on the defined side	1	2
(-)-Bicuculline methochloride	38641-83-7	unverified			cas_and_name_are_different_stereoisomers		stereoisomer_disagreement	1	2
(-)-Cytisine	485-35-8	verified	CHEBI:4055	cytisine		ANJTVLIZGCUXLD-DTWKUNHWSA-N	name and CAS resolved independently to the same structure	1	2
(-)-MK 801 maleate	121917-57-5	unverified			in_pubchem_not_in_chebi	QLTXKCWMEZIHBJ-FWHYOZOBSA-N	name and CAS resolved independently to the same structure	1	2
(-)-Quinpirole hydrochloride	85798-08-9	verified	CHEBI:749711	quinpirole hydrochloride		HJHVRVJTYPKTHX-HTMVYDOJSA-N	name and CAS resolved independently to the same structure	1	2
(-)-Terreic acid	121-40-4	verified	CHEBI:156546	terreic acid		ATFNSNUJZOYXFC-RQJHMYQMSA-N	name and CAS resolved independently to the same structure	1	2
(2R,3S)-Chlorpheg	140924-23-8	unverified			in_pubchem_not_in_chebi	ZHXBCPSYEAQEHB-PSASIEDQSA-N	name and CAS resolved independently to the same structure	1	2
(?)-Epibatidine	148152-66-3	unverified			chebi_has_only_a_different_form	NLPRAJRHRHZCQQ-IVZWLZJFSA-N	name and CAS agree; PubChem stereo-duplicate, anchored on the defined side	2	2
(?)-Nipecotic acid	60252-41-7	verified	CHEBI:116931	nipecotic acid		XJLSEXAGTJCILF-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	2	2
(?)-threo-3-Methylglutamic acid	63088-04-0	unverified			in_pubchem_not_in_chebi	FHJNAFIJPFGZRI-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	2	2
(E)-Capsaicin	404-86-4	verified	CHEBI:3374	capsaicin		YKPUWZUDDOIDPM-SOFGYWHQSA-N	name and CAS resolved independently to the same structure	1	2
(R)-(+)-HA-966	123931-04-4	unverified			in_pubchem_not_in_chebi	HCKUBNLZMKAEIN-GSVOUGTGSA-N	name and CAS resolved independently to the same structure	1	2
(R)-(+)-Propranolol hydrochloride	13071-11-9	verified	CHEBI:51161	dexpropranolol hydrochloride		ZMRUPTIKESYGQW-PFEQFJNWSA-N	name and CAS resolved independently to the same structure	1	2
(R)-(-)- ?-Methylhistamine dihydrobromide	868698-49-1	unverified			in_pubchem_not_in_chebi	RWHNAAABSGVRDT-ZJIMSODOSA-N	name and CAS resolved independently to the same structure	2	2
(R)-(-)-Apomorphine hydrochloride	314-19-2	unverified			in_pubchem_not_in_chebi	SKYZYDSNJIOXRL-BTQNPOSSSA-N	name and CAS resolved independently to the same structure	1	2
(R)-(-)-Niguldipine hydrochloride	113145-70-3	verified	CHEBI:231360	(R)-(-)-niguldipine hydrochloride		MHOSUIMBPQVOEU-MGDILKBHSA-N	name and CAS resolved independently to the same structure	1	2
(R)-(-)-Rolipram	85416-75-7	verified	CHEBI:40133	(−)-rolipram		HJORMJIFDVBMOB-LBPRGKRZSA-N	name and CAS resolved independently to the same structure	1	2
(R)-(-)-α-Methylhistamine dihydrobromide	868698-49-1	unverified			in_pubchem_not_in_chebi	RWHNAAABSGVRDT-ZJIMSODOSA-N	name and CAS resolved independently to the same structure	1	1
(R)-3,4-DCPG	201730-10-1	unverified			in_pubchem_not_in_chebi	IJVMOGKBEVRBPP-SSDOTTSWSA-N	name and CAS resolved independently to the same structure	1	2
(R)-3-Carboxy-4-hydroxyphenylglycine	13861-03-5	unverified			in_pubchem_not_in_chebi	CHZBCZTXSTWCIG-SSDOTTSWSA-N	name and CAS resolved independently to the same structure	1	2
(R)-4-Carboxyphenylglycine	134052-68-9	unverified			in_pubchem_not_in_chebi	VTMJKPGFERYGJF-SSDOTTSWSA-N	name and CAS resolved independently to the same structure	1	2
(R)-CR8	1786438-30-9	unverified			in_pubchem_not_in_chebi	ORYSYXHQFOWNDK-RGFWRHHQSA-N	the experimental team confirmed the CAS / catalogue product	1	2
(R)-DRF053 dihydrochloride	1241675-76-2	unverified			in_pubchem_not_in_chebi	BQPRBNGSDBTKAK-ZEECNFPPSA-N	name and CAS resolved independently to the same structure	1	2
(RS)-(Tetrazol-5-yl)glycine	138199-51-6	verified	CHEBI:35003	Tet-glycine		UKBRUIZWQZHXFL-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
(RS)-(±)-Sulpiride	15676-16-1	verified	CHEBI:32168	sulpiride		BGRJTUBHPOOWDU-UHFFFAOYSA-N	single_source	1	2
(RS)-4-Carboxy-3-hydroxyphenylglycine	134052-66-7	verified	CHEBI:93904	4-[amino(carboxy)methyl]-2-hydroxybenzoic acid		GXZSAQLJWLCLOX-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
(RS)-4-Carboxyphenylglycine	7292-81-1	verified	CHEBI:178134	4-Carboxyphenylglycine		VTMJKPGFERYGJF-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
