cas,check_id,severity,reason,evidence,decided_by,decided_on
1206487-81-1,CON-04,medium,"Single-enantiomer compound with one or more centres left unspecified. Leaving the centre undefined is permitted where the source does not specify it; completing it would require redrawing the structure, which is out of scope for a text pass.",cas_verification.csv row for 1206487-81-1,Idan Gabdank,2026-09-15
1217788-97-0,CON-04,medium,"Single-enantiomer compound with one or more centres left unspecified. Leaving the centre undefined is permitted where the source does not specify it; completing it would require redrawing the structure, which is out of scope for a text pass.",cas_verification.csv row for 1217788-97-0,Idan Gabdank,2026-09-15
131780-48-8,CON-04,medium,"Single-enantiomer compound with one or more centres left unspecified. Leaving the centre undefined is permitted where the source does not specify it; completing it would require redrawing the structure, which is out of scope for a text pass.",cas_verification.csv row for 131780-48-8,Idan Gabdank,2026-09-15
143339-12-2,CON-04,medium,"Single-enantiomer compound with one or more centres left unspecified. Leaving the centre undefined is permitted where the source does not specify it; completing it would require redrawing the structure, which is out of scope for a text pass.",cas_verification.csv row for 143339-12-2,Idan Gabdank,2026-09-15
147782-19-2,CON-04,medium,"Single-enantiomer compound with one or more centres left unspecified. Leaving the centre undefined is permitted where the source does not specify it; completing it would require redrawing the structure, which is out of scope for a text pass.",cas_verification.csv row for 147782-19-2,Idan Gabdank,2026-09-15
147782-19-2,EXT-01,medium,The CAS matches the submitted skeleton but differs in stereochemistry or protonation. Reviewed: no evidence contradicts the drawn structure.,cas_verification.csv row for 147782-19-2,Idan Gabdank,2026-09-15
148152-66-3,CON-04,high,"Correctly encoded racemate with fixed relative configuration. CAS 148152-66-3 is rel-(1R,2R,4S)-, caption 'Relative stereochemistry shown'. Wedges kept and chiral flag 0; the check cannot distinguish this from an error.",cas_registry.csv row for 148152-66-3,Idan Gabdank,2026-09-15
148152-66-3,EXT-01,medium,The CAS matches the submitted skeleton but differs in stereochemistry or protonation. Reviewed: no evidence contradicts the drawn structure.,cas_verification.csv row for 148152-66-3,Idan Gabdank,2026-09-15
149184-22-5,CON-04,medium,"Single-enantiomer compound with one or more centres left unspecified. Leaving the centre undefined is permitted where the source does not specify it; completing it would require redrawing the structure, which is out of scope for a text pass.",cas_verification.csv row for 149184-22-5,Idan Gabdank,2026-09-15
160312-62-9,CON-04,medium,"Single-enantiomer compound with one or more centres left unspecified. Leaving the centre undefined is permitted where the source does not specify it; completing it would require redrawing the structure, which is out of scope for a text pass.",cas_verification.csv row for 160312-62-9,Idan Gabdank,2026-09-15
207455-21-8,EXT-04,medium,The CAS registry does not fix the component ratio: indefinite multiplier in the formula and '(1:?)' in the registry name. Structure kept as drawn 1:1 and no ratio asserted in IUPAC_NAME.,registry_formula_check.csv row for 207455-21-8,Idan Gabdank,2026-09-15
371962-01-5,EXT-04,medium,The CAS registry does not fix the component ratio: indefinite multiplier in the formula and '(1:?)' in the registry name. Structure kept as drawn 1:1 and no ratio asserted in IUPAC_NAME.,registry_formula_check.csv row for 371962-01-5,Idan Gabdank,2026-09-15
55028-72-3,CON-04,high,"Correctly encoded racemate with fixed relative configuration. CAS 55028-72-3 name ends '(5Z) - rel-', caption 'Relative stereochemistry shown'. Same treatment as 148152-66-3.",cas_registry.csv row for 55028-72-3,Idan Gabdank,2026-09-15
5812-07-7,EXT-01,medium,The CAS matches the submitted skeleton but differs in stereochemistry or protonation. Reviewed: no evidence contradicts the drawn structure.,cas_verification.csv row for 5812-07-7,Idan Gabdank,2026-09-15
620170-78-7,EXT-01,medium,The CAS matches the submitted skeleton but differs in stereochemistry or protonation. Reviewed: no evidence contradicts the drawn structure.,cas_verification.csv row for 620170-78-7,Idan Gabdank,2026-09-15
